id;nombre_parcela;productor;departamento;provincia;distrito;cultivo_principal;latitud;longitud;altitud_msnm;area_hectareas;fuente;observacion
CUS-ANTA-ZURITE-01;Andenes agrícolas de Zurite - sector alto;Productores Zurite;Cusco;Anta;Zurite;Papa nativa;-13.454800;-72.260500;3405;1.60;Catálogo V19 de zonas agrícolas rurales para demo;Zona rural agrícola.
CUS-ANTA-HUARO-01;Sector agrícola Huarocondo - valle alto;Productores Huarocondo;Cusco;Anta;Huarocondo;Papa nativa;-13.411600;-72.199700;3320;2.10;Catálogo V19 de zonas agrícolas rurales para demo;Zona rural agrícola.
CUS-URUB-MARAS-01;Zona agrícola Maras - Moray;Asociación Maicera Maras;Cusco;Urubamba;Maras;Maíz;-13.331600;-72.198900;3500;2.80;Catálogo V19 de zonas agrícolas rurales para demo;Zona agrícola conocida por andenes y producción de valle alto.
CUS-URUB-OLLANTA-01;Sector agrícola Patacancha - Ollantaytambo;Productores Ollantaytambo;Cusco;Urubamba;Ollantaytambo;Maíz;-13.258900;-72.263800;2795;2.70;Catálogo V19 de zonas agrícolas rurales para demo;Zona rural agrícola.
CUS-URUB-CHIN-01;Zona agrícola Chinchero - sector alto;Asociación Chinchero;Cusco;Urubamba;Chinchero;Papa nativa;-13.401900;-72.061200;3762;2.40;Catálogo V19 de zonas agrícolas rurales para demo;Zona altoandina usada para papa nativa.
CUS-CALCA-PISAC-01;Sector agrícola Pisac - comunidades altoandinas;Comunidad agrícola Pisac;Cusco;Calca;Pisac;Papa nativa;-13.423500;-71.844800;3520;2.20;Catálogo V19 de zonas agrícolas rurales para demo;Zona rural agrícola.
CUS-QUIS-ANDA-01;Zona agrícola Andahuaylillas - valle;Asociación Andahuaylillas;Cusco;Quispicanchi;Andahuaylillas;Maíz;-13.671200;-71.677700;3125;2.40;Catálogo V19 de zonas agrícolas rurales para demo;Zona agrícola de valle interandino.
CUS-PAUC-COLQ-01;Zona agrícola Colquepata - papa nativa;Comunidad Colquepata;Cusco;Paucartambo;Colquepata;Papa nativa;-13.364800;-71.673300;3680;2.20;Catálogo V19 de zonas agrícolas rurales para demo;Zona altoandina favorable para papa nativa.
CUS-PAUC-HUANC-01;Sector agrícola Huancarani - papa;Comunidad Huancarani;Cusco;Paucartambo;Huancarani;Papa nativa;-13.505800;-71.648900;3830;1.90;Catálogo V19 de zonas agrícolas rurales para demo;Zona rural agrícola.
CUS-ESP-PALL-01;Altiplano agrícola Pallpata - quinua;Productores Pallpata;Cusco;Espinar;Pallpata;Quinua;-14.906100;-71.253400;3945;3.20;Catálogo V19 de zonas agrícolas rurales para demo;Zona altoandina compatible con quinua.
APU-ANDA-PACU-01;Zona agrícola Pacucha - quinua y papa;Productores Pacucha;Apurímac;Andahuaylas;Pacucha;Quinua;-13.606800;-73.344900;3130;2.40;Catálogo V19 de zonas agrícolas rurales para demo;Zona rural agrícola.
APU-ABAN-CURA-01;Sector agrícola Curahuasi - valle interandino;Productores Curahuasi;Apurímac;Abancay;Curahuasi;Maíz;-13.551800;-72.689200;2680;2.90;Catálogo V19 de zonas agrícolas rurales para demo;Zona agrícola de valle para maíz.
PUN-SROM-CABANA-01;Zona quinua Cabana - altiplano;Cooperativa Cabana;Puno;San Román;Cabana;Quinua;-15.643100;-70.323300;3900;4.70;Catálogo V19 de zonas agrícolas rurales para demo;Punto rural altoandino para quinua.
PUN-SROM-CABANILLAS-01;Sector quinua Cabanillas - altiplano;Productores Cabanillas;Puno;San Román;Cabanillas;Quinua;-15.658700;-70.349800;3895;5.10;Catálogo V19 de zonas agrícolas rurales para demo;Zona agrícola altiplánica.
PUN-SROM-CARACOTO-01;Zona agrícola Caracoto - quinua;Productores Caracoto;Puno;San Román;Caracoto;Quinua;-15.567900;-70.095100;3835;3.60;Catálogo V19 de zonas agrícolas rurales para demo;Zona rural agrícola.
PUN-AZAN-ASILLO-01;Sector agrícola Asillo - quinua;Productores Asillo;Puno;Azángaro;Asillo;Quinua;-14.795600;-70.353900;3910;4.20;Catálogo V19 de zonas agrícolas rurales para demo;Zona rural agrícola.
PUN-AZAN-ARAPA-01;Zona agrícola Arapa - quinua;Productores Arapa;Puno;Azángaro;Arapa;Quinua;-15.140700;-70.116500;3845;3.90;Catálogo V19 de zonas agrícolas rurales para demo;Zona productiva del altiplano.
PUN-COLL-PILCUYO-01;Sector agrícola Pilcuyo - quinua;Productores Pilcuyo;Puno;El Collao;Pilcuyo;Quinua;-16.105300;-69.554800;3845;3.50;Catálogo V19 de zonas agrícolas rurales para demo;Zona agrícola altiplánica.
PUN-COLL-COND-01;Zona agrícola Conduriri - quinua altoandina;Productores Conduriri;Puno;El Collao;Conduriri;Quinua;-16.083300;-69.633300;3850;3.80;Catálogo V19 de zonas agrícolas rurales para demo;Punto rural de referencia agrícola, no centro urbano.
PUN-PUTI-QUILCA-01;Sector agrícola Quilcapuncu - quinua;Productores Quilcapuncu;Puno;San Antonio de Putina;Quilcapuncu;Quinua;-14.892300;-69.734400;3915;2.90;Catálogo V19 de zonas agrícolas rurales para demo;Zona rural agrícola.
AYA-HUAM-ACOCRO-01;Sector agrícola Acocro - papa;Productores Acocro;Ayacucho;Huamanga;Acocro;Papa nativa;-13.219200;-74.037700;3240;2.60;Catálogo V19 de zonas agrícolas rurales para demo;Punto rural altoandino.
AYA-HUAM-CHIARA-01;Zona agrícola Chiara - tubérculos;Productores Chiara;Ayacucho;Huamanga;Chiara;Papa nativa;-13.252800;-74.205900;3520;2.30;Catálogo V19 de zonas agrícolas rurales para demo;Zona agrícola de altura.
AYA-HUAM-PACAY-01;Sector agrícola Pacaycasa - quinua;Productores Pacaycasa;Ayacucho;Huamanga;Pacaycasa;Quinua;-13.056900;-74.214400;2600;2.00;Catálogo V19 de zonas agrícolas rurales para demo;Zona rural agrícola.
HVC-TAYA-ACRAQ-01;Sector agrícola Acraquia - papa;Productores Acraquia;Huancavelica;Tayacaja;Acraquia;Papa nativa;-12.409900;-74.906900;3280;2.20;Catálogo V19 de zonas agrícolas rurales para demo;Zona rural agrícola.
HVC-HVCA-YAULI-01;Zona agrícola Yauli - papa nativa;Productores Yauli;Huancavelica;Huancavelica;Yauli;Papa nativa;-12.769400;-74.848600;3380;2.50;Catálogo V19 de zonas agrícolas rurales para demo;Zona altoandina.
ARE-CAY-YANQUE-01;Andenes agrícolas Yanque - valle del Colca;Productores Yanque;Arequipa;Caylloma;Yanque;Maíz;-15.651100;-71.653400;3420;2.30;Catálogo V19 de zonas agrícolas rurales para demo;Zona agrícola en andenes.
ANC-CARH-ACOP-01;Sector agrícola Acopampa - papa y maíz;Productores Acopampa;Áncash;Carhuaz;Acopampa;Papa nativa;-9.295800;-77.622700;2705;2.20;Catálogo V19 de zonas agrícolas rurales para demo;Zona agrícola andina.
HCO-PACH-CHAGLLA-01;Sector agrícola Chaglla - tubérculos;Productores Chaglla;Huánuco;Pachitea;Chaglla;Papa nativa;-9.832200;-75.905400;2920;2.60;Catálogo V19 de zonas agrícolas rurales para demo;Zona rural para tubérculos.
LIB-SCAR-MARC-01;Zona agrícola Marcabal - papa serrana;Productores Marcabal;La Libertad;Sánchez Carrión;Marcabal;Papa nativa;-7.702800;-77.986900;3180;2.40;Catálogo V19 de zonas agrícolas rurales para demo;Zona rural agrícola.
LIB-SCAR-SART-01;Sector agrícola Sartimbamba - papa;Productores Sartimbamba;La Libertad;Sánchez Carrión;Sartimbamba;Papa nativa;-7.690600;-77.718900;2820;2.10;Catálogo V19 de zonas agrícolas rurales para demo;Punto rural altoandino.
